                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.93573,                0.57104,                 1.0547,                0.95834,                  0.986,                0.99323,                0.78765,                0.90582,                0.47468,                0.93998,             0.00053013,             0.00053013,             0.00053013
                     49,                0.93379,                0.56352,                 1.0761,                0.95834,                  0.986,                0.99323,                0.78765,                0.90582,                0.47468,                0.93998,             0.00052806,             0.00052806,             0.00052806
                     50,                0.85109,                0.51076,                0.95035,                0.97117,                0.97544,                0.99376,                0.84644,                0.72931,                0.42434,                0.88906,               0.000526,               0.000526,               0.000526
                     51,                0.83476,                0.52805,                0.97063,                0.97965,                0.95569,                0.99295,                0.85383,                0.68198,                0.39851,                0.87569,             0.00052394,             0.00052394,             0.00052394
                     52,                0.85026,                0.55844,                0.97692,                0.95671,                0.96198,                0.99391,                 0.8366,                0.75633,                0.41761,                0.88835,             0.00052188,             0.00052188,             0.00052188
                     53,                0.81261,                0.44376,                0.92842,                0.95671,                0.96198,                0.99391,                 0.8366,                0.75633,                0.41761,                0.88835,             0.00051981,             0.00051981,             0.00051981
                     54,                 1.0217,                0.63223,                 1.1411,                0.95042,                0.95608,                0.99304,                0.84325,                0.80329,                0.44457,                0.90133,             0.00051775,             0.00051775,             0.00051775
                     55,                0.85941,                0.48346,                0.90574,                0.96832,                 0.9803,                0.99449,                0.82537,                0.87304,                0.44929,                0.93557,             0.00051569,             0.00051569,             0.00051569
                     56,                0.94858,                0.58865,                 1.1467,                0.97643,                 0.9908,                  0.995,                  0.845,                0.75169,                0.37185,                0.88903,             0.00051363,             0.00051363,             0.00051363
                     57,                0.91809,                0.48149,                  1.028,                0.97643,                 0.9908,                  0.995,                  0.845,                0.75169,                0.37185,                0.88903,             0.00051156,             0.00051156,             0.00051156
                     58,                0.87349,                0.50049,                 0.9595,                0.96155,                0.98202,                  0.995,                0.86591,                0.64617,                0.33656,                0.86307,              0.0005095,              0.0005095,              0.0005095
                     59,                 0.8477,                0.50305,                0.92872,                0.98511,                0.96869,                  0.995,                0.85445,                0.67308,                 0.3463,                0.86686,             0.00050744,             0.00050744,             0.00050744
